Part 20 Speakers:
Speaker 1: A.D. SINGH
Speaker 2: A.M. RADRODRO
Speaker 3: F.S. KOYA
Speaker 4: F.W.R.  VOSAROGO
Speaker 5: GOVERNMENT MEMBER
Speaker 6: H. CHAND
Speaker 7: I.B.  SERUIRATU
Speaker 8: J.  SAUKURU
Speaker 9: J. USAMATE
Speaker 10: K.K.  LAL
Speaker 11: L.D. TABUYA
Speaker 12: M.S.N. KAMIKAMICA
Speaker 13: N.T. TUINACEVA
Speaker 14: OPPOSITION MEMBER
Speaker 15: P.  TIKODUADUA
Speaker 16: P.D. KUMAR
Speaker 17: P.K. BALA
Speaker 18: R.R. SHARMA
Speaker 19: RO F.Q. TUISAWAU
Speaker 20: S.D. TURAGA
Speaker 21: V.  NAUPOTO
Speaker 22: V.R. GAVOKA

