Part 12 Speakers:
Speaker 1: A.A. MAHARAJ
Speaker 2: A.D.  SINGH
Speaker 3: A.N. TUICOLO
Speaker 4: F.S  KOYA
Speaker 5: F.S. KOYA
Speaker 6: GOVERNMENT MEMBER
Speaker 7: H. CHAND
Speaker 8: I. VASU
Speaker 9: I.B. SERUIRATU
Speaker 10: J.  USAMATE
Speaker 11: M.S.N. KAMIKAMICA
Speaker 12: P.D. KUMAR
Speaker 13: R.R. SHARMA
Speaker 14: RO F.Q. TUISAWAU
Speaker 15: S.L. RABUKA
Speaker 16: S.R. DITOKA
Speaker 17: V.  NATH
Speaker 18: V. LAL
Speaker 19: V. NAUPOTO
Speaker 20: V.T. RAYALU
Speaker 21: V.T.T.K.  RAYALU

