Part 12 Speakers:
Speaker 1: A.A.  MAHARAJ
Speaker 2: F.S. KOYA
Speaker 3: F.W.R. VOSAROGO
Speaker 4: H. CHAND
Speaker 5: I.B. SERUIRATU
Speaker 6: J. USAMATE
Speaker 7: J.R. VOCEA
Speaker 8: K.V. RAVU
Speaker 9: P. RAVUNAWA
Speaker 10: P.D. KUMAR
Speaker 11: R.R. SHARMA
Speaker 12: S.D. DITOKA
Speaker 13: S.L. RABUKA
Speaker 14: S.R. DITOKA
Speaker 15: T.R. MATASAWALEVU
Speaker 16: V. LAL
Speaker 17: V. NAUPOTO
Speaker 18: V.R. GAVOKA
Speaker 19: V.R. GAVOKA.-  The foreign content of the workforce is based on speciality bases

