Part 12 Speakers:
Speaker 1: A.A  MAHARAJ
Speaker 2: A.A. MAHARAJ
Speaker 3: A.V.B.C. BAINIVALU
Speaker 4: F.S. KOYA
Speaker 5: GOVERNMNET MEMBERS
Speaker 6: I. NAIVALURUA
Speaker 7: I.B. SERUIRATU
Speaker 8: J.  SAUKURU
Speaker 9: J. USAMATE
Speaker 10: M.D. BULITAVU
Speaker 11: M.D. BULITAVU.-  It cannot be a win
Speaker 12: M.S.N. KAMIKAMICA
Speaker 13: N.T. TUINACEVA
Speaker 14: P.D. KUMAR
Speaker 15: P.K. RAVUNAWA
Speaker 16: R.R. SHARMA
Speaker 17: S.L. RABUKA
Speaker 18: S.R.  DITOKA
Speaker 19: V. NAUPOTO
Speaker 20: V.R.  GAVOKA

